"2021 Con1East Gauge ",,,
"Hourly Stream Data (Summary)",,,
,,,
"Dataset Reference Format:",,,
,"[Year of data collection] Stream data from Dry Creek Experimental Watershed. Watershed Process Research Group, Boise State University",,
," URL: earth.boisestate.edu/drycreek. Multi-paged. [month and day of data download].",,
,,,
"Dataset Header Description",,,
,"Column(s)| Variable| Description| [units]",,
,"1st Column  | DateTime| Time stamp of variable collection time* [MM/DD/YY  hr:mm]",,
,"2nd Column|Discharge -L/s|Stream Discharge instantaneous measurements [L/s]",,
,"3rd Column |StreamTemp-C| Stream Temperature [C]",,
,"4th Column |StreamEC-mS/cm| Stream Electrical Conductivity [mS/cm]",,
,,,
,,,
,"**Note: -6999 denotes missing data",,
,,,
,,,
"DateTime","Discharge-L/s","StreamTemp-C","StreamEC-mS/cm"
"1/10/2021 10:00",17.07,0.5,0.067
"1/10/2021 11:00",17.7,0.6,0.067
"1/10/2021 12:00",16.54,0.7,0.067
"1/10/2021 13:00",16.5,0.8,0.067
"1/10/2021 14:00",17.43,0.9,0.067
"1/10/2021 15:00",19.88,0.9,0.067
"1/10/2021 16:00",18.94,0.9,0.067
"1/10/2021 17:00",17.76,0.9,0.067
"1/10/2021 18:00",17.47,0.9,0.067
"1/10/2021 19:00",17.6,0.8,0.067
"1/10/2021 20:00",17.15,0.7,0.067
"1/10/2021 21:00",16.62,0.7,0.067
"1/10/2021 22:00",17.33,0.6,0.067
"1/10/2021 23:00",19.21,0.5,0.067
"1/11/2021 0:00",16.72,0.4,0.067
"1/11/2021 1:00",17.75,0.3,0.066
"1/11/2021 2:00",16.99,0.3,0.066
"1/11/2021 3:00",17.3,0.2,0.066
"1/11/2021 4:00",16.17,0.2,0.066
"1/11/2021 5:00",17.17,0.1,0.066
"1/11/2021 6:00",15.08,0.1,0.066
"1/11/2021 7:00",16.38,0.1,0.066
"1/11/2021 8:00",18.28,0.1,0.066
"1/11/2021 9:00",17.23,0.1,0.066
"1/11/2021 10:00",18.6,0.1,0.066
"1/11/2021 11:00",16.71,0.1,0.067
"1/11/2021 12:00",17.65,0.1,0.067
"1/11/2021 13:00",16.53,0.2,0.067
"1/11/2021 14:00",16.26,0.2,0.067
"1/11/2021 15:00",16.83,0.2,0.067
"1/11/2021 16:00",15.87,0.2,0.067
"1/11/2021 17:00",18.7,0.2,0.067
"1/11/2021 18:00",17.98,0.2,0.067
"1/11/2021 19:00",15.94,0.2,0.067
"1/11/2021 20:00",18.6,0.2,0.066
"1/11/2021 21:00",17.29,0.2,0.066
"1/11/2021 22:00",16.38,0.2,0.066
"1/11/2021 23:00",17.25,0.2,0.066
"1/12/2021 0:00",17.72,0.2,0.066
"1/12/2021 1:00",17.51,0.2,0.066
"1/12/2021 2:00",18.42,0.3,0.066
"1/12/2021 3:00",16.5,0.3,0.067
"1/12/2021 4:00",17.31,0.3,0.067
"1/12/2021 5:00",18.17,0.4,0.067
"1/12/2021 6:00",17.3,0.4,0.067
"1/12/2021 7:00",19.62,0.5,0.067
"1/12/2021 8:00",17.46,0.5,0.067
"1/12/2021 9:00",18.14,0.5,0.067
"1/12/2021 10:00",18.82,0.5,0.067
"1/12/2021 11:00",19.41,0.6,0.067
"1/12/2021 12:00",18.83,0.7,0.067
"1/12/2021 13:00",19.26,0.8,0.067
"1/12/2021 14:00",16.49,0.8,0.067
"1/12/2021 15:00",19.45,0.8,0.067
"1/12/2021 16:00",18.73,0.8,0.066
"1/12/2021 17:00",19.3,0.9,0.066
"1/12/2021 18:00",18.24,0.9,0.066
"1/12/2021 19:00",18.22,0.9,0.066
"1/12/2021 20:00",19.01,0.8,0.065
"1/12/2021 21:00",19.97,0.9,0.065
"1/12/2021 22:00",20.86,0.9,0.065
"1/12/2021 23:00",19.64,1,0.065
"1/13/2021 0:00",21.79,0.9,0.064
"1/13/2021 1:00",22.93,0.7,0.063
"1/13/2021 2:00",25.29,0.4,0.061
"1/13/2021 3:00",28.59,0.2,0.061
"1/13/2021 4:00",27.87,0.2,0.06
"1/13/2021 5:00",30.34,0.2,0.06
"1/13/2021 6:00",34.38,0.2,0.061
"1/13/2021 7:00",30.26,0.2,0.061
"1/13/2021 8:00",29.42,0.3,0.061
"1/13/2021 9:00",26.99,0.4,0.06
"1/13/2021 10:00",28.59,0.4,0.059
"1/13/2021 11:00",31.45,0.3,0.059
"1/13/2021 12:00",35.11,0.2,0.058
"1/13/2021 13:00",28.51,0.2,0.058
"1/13/2021 14:00",43.45,0.2,0.057
"1/13/2021 15:00",39.39,0.2,0.057
"1/13/2021 16:00",30.59,0.3,0.058
"1/13/2021 17:00",37.07,0.4,0.058
"1/13/2021 18:00",33.83,0.6,0.058
"1/13/2021 19:00",28.68,0.7,0.059
"1/13/2021 20:00",29.34,0.8,0.059
"1/13/2021 21:00",30.51,0.9,0.06
"1/13/2021 22:00",33.2,0.9,0.06
"1/13/2021 23:00",31.11,0.9,0.06
"1/14/2021 0:00",25.59,0.8,0.061
"1/14/2021 1:00",28.84,0.8,0.061
"1/14/2021 2:00",28.59,0.7,0.061
"1/14/2021 3:00",28.03,0.7,0.061
"1/14/2021 4:00",26.28,0.8,0.061
"1/14/2021 5:00",27.87,0.8,0.061
"1/14/2021 6:00",24.55,0.7,0.064
"1/14/2021 7:00",28.92,0.7,0.062
"1/14/2021 8:00",25.97,0.6,0.062
"1/14/2021 9:00",25.97,0.6,0.062
"1/14/2021 10:00",25.44,0.6,0.063
"1/14/2021 11:00",26.52,0.6,0.063
"1/14/2021 12:00",25.82,0.5,0.063
"1/14/2021 13:00",26.91,0.5,0.066
"1/14/2021 14:00",23.92,0.5,0.066
"1/14/2021 15:00",24.61,0.6,0.066
"1/14/2021 16:00",26.52,0.6,0.066
"1/14/2021 17:00",25.04,0.6,0.066
"1/14/2021 18:00",22.58,0.6,0.066
"1/14/2021 19:00",24.46,0.6,0.066
"1/14/2021 20:00",24.85,0.6,0.066
"1/14/2021 21:00",22.91,0.6,0.067
"1/14/2021 22:00",27.38,0.5,0.067
"1/14/2021 23:00",23.14,0.5,0.066
"1/15/2021 0:00",24,0.5,0.066
"1/15/2021 1:00",23.14,0.5,0.066
"1/15/2021 2:00",23.93,0.5,0.066
"1/15/2021 3:00",24.66,0.5,0.066
"1/15/2021 4:00",21.52,0.4,0.066
"1/15/2021 5:00",24.62,0.4,0.066
"1/15/2021 6:00",24.06,0.4,0.066
"1/15/2021 7:00",24.98,0.4,0.066
"1/15/2021 8:00",22.96,0.3,0.066
"1/15/2021 9:00",25.21,0.3,0.066
"1/15/2021 10:00",24.28,0.3,0.066
"1/15/2021 11:00",25.1,0.4,0.067
"1/15/2021 12:00",25.31,0.6,0.067
"1/15/2021 13:00",25.74,0.7,0.067
"1/15/2021 14:00",24.18,0.9,0.067
"1/15/2021 15:00",26.21,1,0.068
"1/15/2021 16:00",22.64,1,0.068
"1/15/2021 17:00",24.4,1.1,0.068
"1/15/2021 18:00",23.98,1.1,0.068
"1/15/2021 19:00",23.55,1.2,0.068
"1/15/2021 20:00",24.97,1.2,0.068
"1/15/2021 21:00",24.36,1.2,0.068
"1/15/2021 22:00",23.75,1.3,0.068
"1/15/2021 23:00",25.51,1.3,0.068
