freqs,spectrum
2.03857421875,1.33330720134e-15
2.05078125,1.30193418522e-15
2.06298828125,1.27146738734e-15
2.0751953125,1.24188772392e-15
2.08740234375,1.21316416948e-15
2.099609375,1.18526661325e-15
2.11181640625,1.15816799714e-15
2.1240234375,1.13183959305e-15
2.13623046875,1.1062488556e-15
2.1484375,1.08138410018e-15
2.16064453125,1.05724248673e-15
2.1728515625,1.03377060985e-15
2.18505859375,1.01094902532e-15
2.197265625,9.88754169022e-16
2.20947265625,9.67165779666e-16
2.2216796875,9.46322491415e-16
2.23388671875,9.26085312201e-16
2.24609375,9.06215329234e-16
2.25830078125,8.86826058812e-16
2.2705078125,8.67952525205e-16
2.28271484375,8.49579405028e-16
2.294921875,8.31690478407e-16
2.30712890625,8.14269812404e-16
2.3193359375,7.97304057248e-16
